id,status,start_time,away_team_id,home_team_id,winning_team_id,league_name,season,attendance,boxscore.total_away_points,boxscore.total_home_points,boxscore.total_away_firsthalf_points,boxscore.total_home_firsthalf_points,boxscore.total_away_secondhalf_points,boxscore.total_home_secondhalf_points,game_id,ml_away,ml_home,spread_away,spread_home,spread_away_line,spread_home_line,over,under,draw,total,away_total,away_over,away_under,home_total,home_over,home_under,ml_home_public,ml_away_public,spread_home_public,spread_away_public,total_under_public,total_over_public,ml_home_money,ml_away_money,spread_home_money,spread_away_money,total_over_money,total_under_money,num_bets,book_id,type,inserted,home_team,away_team,date_scraped
175102,cancelled,2023-01-01T16:00:01.000Z,1144,1137,,ligue1,2022,0,,,,,,,175102,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,2.5,0.5,-370.0,260.0,0.5,-400.0,280.0,,,,,,,,,,,,,,15,game,2023-01-01T15:54:27.372558+00:00,Angers SCO,FC Lorient,2023-02-20 02:01:35.029657
175102,cancelled,2023-01-01T16:00:01.000Z,1144,1137,,ligue1,2022,0,,,,,,,175102,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,2.5,0.5,-370.0,260.0,0.5,-400.0,280.0,,,,,,,,,,,,,,15,game,2023-01-01T15:54:27.372558+00:00,Angers SCO,FC Lorient,2023-02-20 02:01:35.029657
175102,cancelled,2023-01-01T16:00:01.000Z,1144,1137,,ligue1,2022,0,,,,,,,175102,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,2.5,0.5,-370.0,260.0,0.5,-400.0,280.0,,,,,,,,,,,,,,15,game,2023-01-01T15:54:27.372558+00:00,Angers SCO,FC Lorient,2023-02-20 02:01:35.029657
175102,cancelled,2023-01-01T16:00:01.000Z,1144,1137,,ligue1,2022,0,,,,,,,175102,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,2.5,0.5,-370.0,260.0,0.5,-400.0,280.0,,,,,,,,,,,,,,15,game,2023-01-01T15:54:27.372558+00:00,Angers SCO,FC Lorient,2023-02-20 02:01:35.029657
175103,cancelled,2023-01-01T16:00:01.000Z,2000,1148,,ligue1,2022,0,,,,,,,175103,500.0,-210.0,1.5,-1.5,-175.0,120.0,-175.0,140.0,360.0,2.5,0.5,-190.0,140.0,0.5,-1200.0,600.0,,,,,,,,,,,,,,15,game,2023-01-01T15:58:05.404887+00:00,AS Monaco FC,Stade Brestois 29,2023-02-20 02:01:35.029657
175103,cancelled,2023-01-01T16:00:01.000Z,2000,1148,,ligue1,2022,0,,,,,,,175103,500.0,-210.0,1.5,-1.5,-175.0,120.0,-175.0,140.0,360.0,2.5,0.5,-190.0,140.0,0.5,-1200.0,600.0,,,,,,,,,,,,,,15,game,2023-01-01T15:58:05.404887+00:00,AS Monaco FC,Stade Brestois 29,2023-02-20 02:01:35.029657
175103,cancelled,2023-01-01T16:00:01.000Z,2000,1148,,ligue1,2022,0,,,,,,,175103,500.0,-210.0,1.5,-1.5,-175.0,120.0,-175.0,140.0,360.0,2.5,0.5,-190.0,140.0,0.5,-1200.0,600.0,,,,,,,,,,,,,,15,game,2023-01-01T15:58:05.404887+00:00,AS Monaco FC,Stade Brestois 29,2023-02-20 02:01:35.029657
175103,cancelled,2023-01-01T16:00:01.000Z,2000,1148,,ligue1,2022,0,,,,,,,175103,500.0,-210.0,1.5,-1.5,-175.0,120.0,-175.0,140.0,360.0,2.5,0.5,-190.0,140.0,0.5,-1200.0,600.0,,,,,,,,,,,,,,15,game,2023-01-01T15:58:05.404887+00:00,AS Monaco FC,Stade Brestois 29,2023-02-20 02:01:35.029657
175116,complete,2023-01-01T16:30:00.000Z,1102,3364,,epl,2022,0,1.0,1.0,1.0,0.0,0.0,1.0,175116,-165.0,470.0,-0.5,0.5,-180.0,130.0,-115.0,-110.0,300.0,2.5,1.0,-279.0,208.0,0.5,-170.0,130.0,,,,,50.0,50.0,,,,,35.0,65.0,3041.0,15,game,2023-01-01T18:31:43.715244+00:00,Nottingham Forest,Chelsea FC,2023-02-20 02:01:35.029657
180695,complete,2023-01-01T19:45:00.000Z,1153,2113,2113.0,ligue1,2022,0,1.0,3.0,1.0,2.0,0.0,1.0,180695,105.0,260.0,-0.5,0.5,-105.0,-130.0,-115.0,-110.0,240.0,2.5,0.5,-575.0,370.0,0.5,-270.0,200.0,,,,,17.0,83.0,,,,,,,1013.0,15,game,2023-01-01T21:48:29.232204+00:00,RC Lens,Paris Saint-Germain,2023-02-20 02:01:35.029657
